Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC092969.1,5.001117146916834,-2.464888033949663,14.695263715103367,4.7330937982519655e-35,9.619539835567296e-31,67.93207215533884
L1CAM,6.003938427145299,1.9366441973003596,13.61698521552115,1.8134551611351296e-31,1.8428331347455187e-27,60.73451625166382
ELAPOR1,-5.617840179073784,7.75023227283373,-13.42059718606209,8.102902129230218e-31,5.489446095815832e-27,59.33630544993234
KIF2C,1.7430589948155155,4.797907322020995,13.36812413899017,1.208276184735618e-30,6.1392512946416744e-27,58.93562001014549
FCHO1,2.8236089929272614,3.0292868378198574,13.124742555469544,7.689268787562502e-30,3.125533976768406e-26,57.09634506871365
TPX2,1.7544009915588763,6.010382930442052,13.088177676867485,1.0149880964954867e-29,3.438103012195712e-26,56.80280999518354
AURKA,1.6648225149748113,4.122346828219732,12.918869799614008,3.6654579690267733e-29,1.0642395394642878e-25,55.56759131923221
ESPL1,1.843748444489408,4.5652113712414355,12.856595880882177,5.874460043688615e-29,1.492406574099093e-25,55.09353497976196
HIF3A,3.939581322615452,0.8777132889169107,12.752001370433234,1.296153055128187e-28,2.927001632491697e-25,54.24206049515054
AARD,3.583506314494585,-2.1938314856464,12.533115844573215,6.766176397495253e-28,1.3751576910269351e-24,52.091697766475185
C10orf88B,3.38319121329954,-2.7556488112454445,12.349606593678493,2.6932722436405765e-27,4.9761877345228244e-24,50.65732220162175
DLGAP3,3.3272561250714303,0.1032174844949398,12.18677891378872,9.144078233189016e-27,1.5487020500944463e-23,49.950563855951536
PLAG1,3.158798297368183,0.4224150408513638,12.084130040691184,1.972631026422052e-26,3.083980998538599e-23,49.23718353113187
DNAH17-AS1,3.3422172130325114,-2.423799785370881,11.975849450133506,4.432040497565912e-26,6.434056505180686e-23,48.05744100478693
PLPP2,-2.2292941882993516,7.598084298307158,-11.933393307454956,6.084904060846723e-26,8.244639342176587e-23,48.170622508045525
E2F1,1.8831024473377589,4.449879665069041,11.844012411259763,1.1848778193046162e-25,1.5050910499716888e-22,47.56864251124557
CENPA,1.6355857154687294,3.0124996072788206,11.803390876447608,1.603390625523976e-25,1.9169006513617228e-22,47.29315533431429
TNNT1,5.309349790352968,1.6166326862384974,11.748162319846198,2.4180726917897657e-25,2.730272743774178e-22,46.86513085474502
LNCTAM34A,-2.131186543386222,0.5783459211355926,-11.698967560985416,3.4852527033219207e-25,3.7281197864376167e-22,46.28879656151561
ANKLE1,2.6704144515989277,0.893749625353881,11.67179667867418,4.2643392730296475e-25,4.0006624143001675e-22,46.253778786619634
